1	1	Deposit	10.00	4	2019-04-01T02:46:09.208	0	true	false
2	1	Deposit	10.00	1	2019-04-01T02:46:16.280	0	true	false
3	1	Deposit	10.00	2	2019-04-01T02:46:23.531	0	true	false
4	1	Deposit	10.00	3	2019-04-01T02:46:28.587	0	true	false
5	1	Deposit	10.00	5	2019-04-01T02:46:34.514	0	true	false
6	1	Deposit	13.24	5	2019-04-01T02:46:43.079	0	false	false
7	1	Deposit	13.48	4	2019-04-01T02:46:47.521	0	false	false
8	1	Deposit	14.10	3	2019-04-01T02:46:52.579	0	false	false
9	1	Deposit	14.77	2	2019-04-01T02:46:57.297	0	false	false
10	1	Deposit	14.57	1	2019-04-01T02:47:03.342	0	false	false
11	1	Withdrawal	14.30	1	2019-04-01T02:47:22.362	0	false	false
12	1	Withdrawal	14.87	2	2019-04-01T02:47:29.292	0	false	false
13	1	Withdrawal	15.28	3	2019-04-01T02:47:35.167	0	false	false
14	1	Withdrawal	15.57	4	2019-04-01T02:47:40.777	0	false	false
15	1	Withdrawal	15.56	5	2019-04-01T02:47:45.225	0	false	false
16	1	TransferOut	1.00	1	2019-04-01T02:50:36.182	2	true	false
18	1	TransferOut	1.00	3	2019-04-01T02:50:56.892	1	true	false
19	1	TransferOut	1.00	3	2019-04-01T02:51:09.114	4	true	false
20	1	PayBill	1.00	2	2019-04-01T02:51:57.181	2	false	false
21	1	PayBill	1.00	5	2019-04-01T02:52:07.369	2	false	false
18	1	TransferOut	-1.00	3	2019-04-01T02:53:57.207	1	true	true
22	1	Withdrawal	6.62	5	2019-04-01T13:57:57.873	0	false	false
23	1	Deposit	100.00	5	2019-04-01T13:58:10.084	0	true	false
24	1	Withdrawal	95.06	5	2019-04-01T13:58:22.690	0	false	false
25	1	Deposit	50.00	5	2019-04-01T14:01:35.828	0	true	false
